	DC3000	delta	mock	SUPP1331
AT1G06993	-4.47229611208161	-0.946316471975846	1.41814071502525	-1.07576183157069
AT1G36730	7.13500428455253	7.64947690460835	7.71144316039151	7.61389081454035
AT1G36980	6.70673128835343	6.42784390470781	6.73170301335963	6.40446781328085
AT1G36990	3.95745868817616	4.32217053724155	3.90503582291691	4.17721675604658
AT1G37130	9.8623253533424	9.38132639603349	7.68177423848499	9.44301746245661
AT1G41830	4.83671927840865	4.96941358411063	5.1883076733098	4.7345828545669
AT1G41880	7.0256973416531	6.62642147222414	7.25820189372024	6.9760427668931
AT1G42430	1.65169111015527	1.11957370541774	2.8017316787244	1.4565623404895
AT1G42440	5.94034636449319	5.74285455353823	5.42564552312467	5.52981462090871
AT1G42470	4.07712523993958	3.85165951312063	3.5534573580291	3.88766381206927
AT1G42480	2.24622525536913	2.5891066509658	2.6404593207768	2.6459538230986
AT1G42540	2.29498424401753	-0.999352359267327	0.774858372195501	0.586056835225071
