	DC3000	delta	mock	SUPP1331
AT1G05300	0.353916289777172	0.291744069154862	0.277202144093116	0.35886537292042
AT1G05320	0.123156819436861	0.108026990383009	0.103371196590249	0.132402137786443
AT1G05340	0.402714083879629	0.346858811723028	0.420945617210825	0.390662219352604
AT1G05350	0.174217112271864	0.169828306683719	0.17860990585616	0.20154964047408
AT1G05360	0.29379739403473	0.23630984367934	0.457824328583959	0.301514480269507
AT1G05380	0.154609532389259	0.154545334690735	0.147149885636369	0.176238626114233
AT1G05385	0.276441660115579	0.220775176255969	0.201568956412659	0.305959386569948
AT1G05410	0.351382960126384	0.349552419091528	0.435988658227896	0.422698496974492
AT1G05430	0.200847898836123	0.210423586774452	0.191956937706833	0.265615081117228
AT1G05460	0.219850275013323	0.184719113305801	0.171155133442287	0.235879462819776
AT1G05470	1.43173855497242	0.963326445808197	0.601131436964793	1.45769567395871
AT1G05500	0.294039229269695	0.287866513190778	0.266291169932371	0.314554427547677
AT1G05520	0.269671649766142	0.278911358467076	0.282812289555427	0.348839587680836
AT1G05540	0.550633308526945	0.388076621586072	0.234214671123768	0.393276310274533
AT1G05562	0.378989026236091	0.324754771796835	0.231377069883942	0.491387265334316
AT1G05560	0.225063031807698	0.225701594467693	0.232757706982601	0.277933181993292
AT1G05570	0.277570968499177	0.248547790540944	0.273440839972489	0.304448721324606
AT1G05575	0.22781393680342	0.39924927203146	1.10202583324754	0.522298539795521
AT1G05590	0.438898244076036	0.354155388358211	0.280994701232373	0.406434917434583
AT1G05600	0.206901160687623	0.166110931006216	0.163303184948724	0.222507829708453
AT1G05620	0.291621724092031	0.405810708549784	0.359770189028434	0.473279528973226
AT1G05630	0.423298082916749	0.430273529283045	0.506106670980785	0.478333524833493
AT1G05640	1.11148226325263	0.679854855118624	1.3659745454472	1.3012590504858
AT1G05670	1.05262632793039	0.621927312573794	0.541170293951202	0.918293804534449
AT1G05675	0.339525011642102	0.244111480319564	0.404886115138489	0.283110366810134
AT1G05680	0.36388636091417	0.389461943616166	0.896077370285456	0.498386092369989
AT1G05690	0.362007767396987	0.39705030845757	0.418258285024207	0.520308278903851
AT1G05710	0.671298259347064	0.913849515239705	0.736077030865518	0.596301670287963
AT1G05720	0.329754881518056	0.328798358265155	0.331802106068241	0.398930636886221
AT1G05730	0.340769276703778	0.314658842440032	0.573149470339052	0.472888247820894
AT1G05750	0.495574688174034	0.432742004467741	0.433167425414985	0.456076480368045
AT1G05780	0.380507170556162	0.26351109520467	0.326599562883138	0.36793351365312
AT1G05785	0.364783934395034	0.320500713870097	0.52103988077757	0.485584207301736
AT1G05790	0.223773426666865	0.244402543257611	0.240517356603668	0.374989609042082
AT1G05805	0.175500806347829	0.165746856271469	0.156486024097266	0.19347174179373
AT1G05810	0.314363938361253	0.311977647482077	0.505244790689104	0.413926168478606
AT1G05820	0.415743177574799	0.552904206307924	0.778843024741809	0.562997536006499
AT1G05830	0.236979759383445	0.237159464629204	0.220094417636674	0.274948334818312
AT1G05840	0.261728149022742	0.255571636551888	0.314828920327605	0.323755873266639
AT1G05850	0.0761453100382404	0.072962106917185	0.0703195643925479	0.088011053336081
AT1G05860	0.402531460733792	0.426495843355564	0.308127619646383	0.52487990499484
AT1G05870	0.308941300821258	0.248689069003807	0.239720762273764	0.29463950681401
AT1G05880	0.218937825040705	0.197152918467113	0.559954916706734	0.288031089440623
AT1G05890	0.142539296336216	0.135957771637789	0.154360052344122	0.163549272718926
AT1G05900	0.501447855765638	0.565939301202532	0.455218442225509	0.704795050367219
AT1G05910	0.241554997663054	0.197998368988878	0.202172267810903	0.256923672037295
AT1G05940	0.216700426895453	0.209097987757086	0.194212570549607	0.247805216737796
AT1G05960	0.225040287172097	0.212047076335858	0.207806887520442	0.257659258549764
AT1G05970	0.407997579591306	0.325131506653104	0.272835051292139	0.406571396032824
AT1G06002	0.228615676380304	0.221972822126701	0.254011876831494	0.270901142899154
AT1G06000	0.297384147919018	0.296109335940702	0.413491448957526	0.37142140561439
AT1G06010	0.173025696069101	0.150138247993384	0.158714061075387	0.189521738730086
AT1G06040	0.0969961628639722	0.0904080814902887	0.0847104786330869	0.10914014851836
AT1G06050	0.400440062727581	0.332894489668999	0.391845300386154	0.365247027050477
